"mdate","MktRF","SMB","HML","RF","WML"
201310,0.0449,-0.002,0.0442,0,0.0198
201311,0.0133,0.0088,-0.0045,0,0.0255
201312,0.0237,0.0054,-0.0023,0,0.015
201401,-0.0303,0.0355,0.0257,0,0.0232
201402,0.0742,0.0043,0.0043,0,0.022
201403,-0.0054,0.003,0.0171,0,-0.0099
201404,0.0177,-0.022,0.0031,0,-0.0354
201405,0.0077,-0.007,-0.0034,0,-0.0023
201406,-0.0012,0.0011,-0.0176,0,0.0033
201407,-0.041,-0.0043,0.004,0,-0.0058
201408,-2e-04,-0.0097,-0.0101,0,0.0033
201409,-0.0379,-0.0228,-0.0044,0,0.0249
201410,-0.027,-0.0123,-0.0309,0,0.0108
201411,0.0212,-0.0135,-0.0182,0,-0.0062
201412,-0.037,0.0222,-0.0235,0,0.0198
201501,-0.0031,-0.0156,-0.0352,0,0.0351
201502,0.0621,0.0099,0.0196,0,-0.0397
201503,-0.0228,-0.0051,-0.0035,0,0.0157
201504,0.0479,0.0218,0.0033,0,-0.0214
201505,-0.0015,0.0166,-0.0247,0,0.0356
201506,-0.0284,0.0203,0.0016,0,0.0091
201507,0.0239,-0.0081,-0.0265,0,0.0353
201508,-0.0602,0.037,-0.01,0,0.0212
201509,-0.0427,0.0111,-0.0363,0,0.0428
201510,0.0619,-0.0297,-0.0077,0,-0.0156
201511,-0.0149,0.0033,-0.028,0,0.0261
201512,-0.0186,0.0377,-0.0125,1e-04,0.0401
201601,-0.0643,-0.0076,-0.0149,1e-04,0.0115
201602,-0.0171,0.0145,0.0037,2e-04,-0.007
201603,0.067,0.0171,0.0119,2e-04,-0.0149
201604,0.0238,-0.0064,0.0335,1e-04,-0.0391
201605,-0.0038,0.0153,-0.0287,1e-04,0.0381
201606,-0.0501,-0.0239,-0.0164,2e-04,0.071
201607,0.0444,0.0154,0.0021,2e-04,-0.001
201608,0.0078,0.0161,0.0193,2e-04,-0.0176
201609,0.0095,0.0092,-0.0015,2e-04,0.0314
201610,-0.0308,-0.0077,0.0636,2e-04,-0.0083
201611,-0.025,0.0089,0.0192,1e-04,-0.0205
201612,0.0472,-0.0083,0.0199,3e-04,-0.0196
201701,0.0284,0.0203,0.0047,4e-04,0.0283
201702,0.0068,-4e-04,-0.026,4e-04,-0.016
201703,0.0427,-0.013,0.005,3e-04,2e-04
201704,0.0463,0.0191,-0.013,5e-04,0.0023
201705,0.0503,2e-04,-0.0079,6e-04,-0.0043
201706,-0.0067,0.0155,0.0203,6e-04,0.0159
201707,0.0349,0.008,0.0259,7e-04,0.0196
201708,0.0011,-6e-04,-0.0071,9e-04,0.0133
201709,0.0272,-0.0012,0.0047,9e-04,0.0063
201710,0.0059,-0.0096,-0.0013,9e-04,0.0122
201711,-1e-04,-0.0038,0.0129,8e-04,0.003
201712,0.0147,0.0155,0.005,9e-04,-0.0142
201801,0.0552,0.008,0.011,0.0011,0.0296
201802,-0.0535,0.0122,-0.0075,0.0011,0.0062
201803,-0.0071,-0.0056,-0.0094,0.0012,-0.0043
201804,0.022,-0.0074,0.0151,0.0014,0.007
201805,-0.0273,0.0123,-0.0499,0.0014,0.02
201806,-0.0092,-0.0085,-0.0156,0.0014,-0.0066
201807,0.0269,-0.0191,0.004,0.0016,-0.0056
201808,-0.0265,0.0088,-0.0265,0.0016,0.0242
201809,0.0012,-0.0146,0.0234,0.0015,0.0159
201810,-0.0854,-0.017,0.0147,0.0019,-0.0147
201811,-0.0131,-0.0118,-0.0057,0.0018,-0.0209
201812,-0.0459,-0.0068,0.0095,0.0019,0.0324
201901,0.0619,0.0059,-0.0095,0.0021,-0.0223
201902,0.0293,-0.0147,-0.0123,0.0018,-0.0115
201903,0.0058,-0.0176,-0.0233,0.0019,0.0452
201904,0.037,0.001,-0.0104,0.0021,-0.0439
201905,-0.0534,0.0132,-0.0154,0.0021,0.085
201906,0.0591,-0.0269,-0.014,0.0018,-0.0039
201907,-0.0256,-0.0128,9e-04,0.0019,0.0139
201908,-0.024,-0.0059,-0.0196,0.0016,0.0328
201909,0.0215,-0.0089,0.0308,0.0018,-0.0228
201910,0.0327,0.0093,-0.005,0.0015,-0.0119
201911,0.0177,0.0207,-0.0224,0.0012,0.007
201912,0.0407,0.0279,0.0041,0.0014,0.0166
202001,-0.0255,0.0036,-0.0288,0.0013,0.0355
202002,-0.0898,0.0029,-0.0073,0.0012,0.0077
202003,-0.1544,-0.0422,-0.113,0.0012,0.0755
202004,0.067,0.0504,-0.0381,0,0.0102
202005,0.0543,0.0121,-0.0414,1e-04,0.029
202006,0.0404,-0.012,0.0174,1e-04,0.0075
